kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing
K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,5455.0,4.467,0.927,15.347,0,0,0,0,0
K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,5455.0,4.467,0.927,15.347,0,0,0,0,0
K00753.01,CANDIDATE,19.89913995,1.7822,10829.0,14.6,5853.0,4.544,0.868,15.436,0,0,0,0,0
K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,5805.0,4.564,0.791,15.597,0,0,0,0,0
K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,6031.0,4.438,1.046,15.509,0,0,0,0,0
K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,6046.0,4.486,0.972,15.714,0,0,0,0,0
K00756.02,CONFIRMED,4.13443512,3.1402,686.0,2.77,6046.0,4.486,0.972,15.714,0,0,0,0,0
K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,6046.0,4.486,0.972,15.714,0,0,0,0,0
K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,6227.0,3.986,1.958,12.66,0,0,0,0,0
K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,5031.0,4.485,0.848,15.841,0,0,0,0,0
K00001.01,CONFIRMED,2.470613377,1.74319,14231.0,13.04,5820.0,4.457,0.964,11.338,0,0,0,0,0
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,6440.0,4.019,1.952,10.463,0,0,0,0,0
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,6225.0,4.169,1.451,13.563,0,0,0,0,0
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,5833.0,4.407,1.022,12.772,0,0,0,0,0
K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.0,150.51,5795.0,4.554,0.848,15.472,0,0,0,0,0
K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,5043.0,4.591,0.68,15.487,0,0,0,0,0
K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,6117.0,4.496,0.947,15.341,0,0,0,0,0
K00745.01,FALSE POSITIVE,16.46983774,9.4378,10479.0,7.94,5152.0,4.517,0.786,15.788,0,0,0,0,0
K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,2.47,4856.0,4.583,0.696,15.302,0,0,0,0,0
K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,2.85,4537.0,4.648,0.672,15.784,0,0,0,0,0
K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,4989.0,4.504,0.819,15.269,0,0,0,0,0
K00749.01,CONFIRMED,5.349553819,3.0278,831.0,2.55,5185.0,4.44,0.91,15.416,0,0,0,0,0
K00749.02,CONFIRMED,3.94105221,2.5984,363.3,1.7,5185.0,4.44,0.91,15.416,0,0,0,0,0
K00749.03,CONFIRMED,8.10904807,3.596,217.4,1.3,5185.0,4.44,0.91,15.416,0,0,0,0,0
K00113.01,FALSE POSITIVE,386.6030528,6.8057,24927.0,41.5,5543.0,4.081,1.58,12.394,0,0,0,0,0
K00750.01,CONFIRMED,21.67699193,3.4555,857.2,2.95,4954.0,4.5,0.828,15.377,0,0,0,0,0
K00751.01,CONFIRMED,4.99677968,2.1717,934.7,2.78,5339.0,4.552,0.847,15.861,0,0,0,0,0
K00769.01,CONFIRMED,4.280963604,2.875,750.8,2.3,5644.0,4.564,0.831,15.356,0,0,0,0,0
K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,5714.0,4.563,0.831,15.525,0,0,0,0,0
K00771.01,FALSE POSITIVE,670.645531,53.412,18091.0,14.14,5520.0,4.466,0.983,15.207,0,0,0,0,0
K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,6144.0,4.402,1.091,15.25,0,0,0,0,0
K00773.01,CONFIRMED,38.3775486,5.588,724.2,2.82,5481.0,4.369,1.036,15.172,0,0,0,0,0
K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,3.86,5031.0,4.485,0.848,15.841,0,0,0,0,0
K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,2.65,5031.0,4.485,0.848,15.841,0,0,0,0,0
K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,3.1,5015.0,4.499,0.826,15.39,0,0,0,0,0
K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,3.36,5586.0,4.56,0.798,15.082,0,0,0,0,0
K00759.02,CONFIRMED,91.7732862,6.473,652.0,2.12,5586.0,4.56,0.798,15.082,0,0,0,0,0
K00760.01,CONFIRMED,4.959319244,2.22739,9802.0,12.21,5712.0,4.359,1.082,15.263,0,0,0,0,0
K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,5550.0,4.468,0.91,15.54,0,0,0,0,0
K00762.01,CONFIRMED,4.49876511,3.7362,460.0,2.1,6075.0,4.486,0.969,15.395,0,0,0,0,0
K00763.01,FALSE POSITIVE,19.651209505,5.2514,11766.0,12.42,6074.0,4.391,1.063,15.536,0,0,0,0,0
K00115.01,CONFIRMED,5.412203927,2.9472,601.6,2.94,5779.0,4.339,1.087,12.791,0,0,0,0,0
K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,5.5,5468.0,4.367,1.046,15.4,0,0,0,0,0
K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,2.52,5592.0,4.582,0.787,15.317,0,0,0,0,0
K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,4.43,6174.0,4.417,1.103,15.506,0,0,0,0,0
K00767.01,CONFIRMED,2.816504904,2.50587,16814.0,12.21,5532.0,4.452,0.955,15.052,0,0,0,0,0
K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,5040.0,4.628,0.705,15.716,0,0,0,0,0
K00786.01,CONFIRMED,3.689920099,2.6557,426.7,1.89,5880.0,4.518,0.917,15.242,0,0,0,0,0
K00787.01,CONFIRMED,4.431238488,3.15,1010.9,3.25,5714.0,4.428,1.015,15.367,0,0,0,0,0
K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,3.95,5714.0,4.428,1.015,15.367,0,0,0,0,0
K00788.01,CONFIRMED,26.39432897,3.573,1510.9,3.07,5129.0,4.595,0.763,15.234,0,0,0,0,0
K00116.01,CONFIRMED,13.57078281,3.3539,511.7,2.64,5854.0,4.406,1.012,12.882,0,0,0,0,0
K00115.02,CONFIRMED,7.12594387,3.0014,192.4,1.79,5779.0,4.339,1.087,12.791,0,0,0,0,0
K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446.0,15.03,6108.0,4.469,0.956,15.27,0,0,0,0,0
K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,2.0,4126.0,4.661,0.615,15.095,0,0,0,0,0
K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,2.16,4126.0,4.661,0.615,15.095,0,0,0,0,0
K00775.03,CONFIRMED,36.4454001,4.007,1122.3,1.99,4126.0,4.661,0.615,15.095,0,0,0,0,0
K00776.01,CONFIRMED,3.728732147,2.683,5226.5,6.02,5497.0,4.577,0.809,15.523,0,0,0,0,0
K00777.01,CANDIDATE,40.4195037,3.362,6256.0,7.51,5446.0,4.507,0.781,15.487,0,0,0,0,0
K00778.01,CONFIRMED,2.243380573,1.1196,821.7,1.99,4149.0,4.698,0.564,15.135,0,0,0,0,0
K00779.01,FALSE POSITIVE,10.405998015,6.5036,14489.0,11.23,5746.0,4.393,0.924,15.562,0,0,0,0,0
K00780.01,CONFIRMED,2.337437946,1.9982,971.2,2.34,5005.0,4.595,0.765,15.334,0,0,0,0,0
K00780.02,CANDIDATE,7.2406612,0.558,556.4,19.45,5005.0,4.595,0.765,15.334,0,0,0,0,0
K00115.03,CANDIDATE,3.43591631,3.133,23.2,0.55,5779.0,4.339,1.087,12.791,0,0,0,0,0
K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,2.65,3688.0,4.79,0.473,15.937,0,0,0,0,0
K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,5.31,5992.0,4.415,0.989,15.312,0,0,0,0,0
K00783.01,CONFIRMED,7.275040844,7.5377,3001.0,4.86,5485.0,4.556,0.867,15.08,0,0,0,0,0
K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,1.93,4077.0,4.702,0.56,15.385,0,0,0,0,0
K00784.02,CONFIRMED,10.06524317,1.369,1053.3,1.91,4077.0,4.702,0.56,15.385,0,0,0,0,0
K00785.01,CONFIRMED,12.3935651,3.8896,916.6,2.66,5557.0,4.603,0.75,15.505,0,0,0,0,0
K00116.02,CONFIRMED,43.84439721,6.802,615.2,2.87,5854.0,4.406,1.012,12.882,0,0,0,0,0
K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,21.55,5295.0,4.551,0.811,15.629,0,0,0,0,0
K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,5735.0,4.41,0.973,15.279,0,0,0,0,0
K00800.01,CONFIRMED,2.711504086,3.0099,837.5,3.12,6214.0,4.442,1.076,15.541,0,0,0,0,0
K00800.02,CONFIRMED,7.21203748,4.0491,950.4,3.32,6214.0,4.442,1.076,15.541,0,0,0,0,0
K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,1.88,5799.0,4.539,0.878,15.727,0,0,0,0,0
K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,2.59,5354.0,4.587,0.788,15.339,0,0,0,0,0
K00790.02,CONFIRMED,60.4189369,5.039,931.3,2.36,5354.0,4.587,0.788,15.339,0,0,0,0,0
K00791.01,CONFIRMED,12.611904345,5.1497,6105.6,7.4,5795.0,4.508,0.919,15.14,0,0,0,0,0
K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,6017.0,4.22,1.339,15.122,0,0,0,0,0
